"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 22 06:22:17 GMT 2023","Thu Jun 22 06:22:29 GMT 2023","11488","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens3","duckDuckGoOpens3()",""
"passed","Thu Jun 22 06:22:21 GMT 2023","Thu Jun 22 06:22:28 GMT 2023","7872","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens2","duckDuckGoOpens2()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test7","test7()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","5","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test4","test4()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","3","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test0","test0()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test10","test10()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:29 GMT 2023","10790","","tests.ui.DuckDuckGoTest","","tests.ui.DuckDuckGoTest","duckDuckGoOpens1","duckDuckGoOpens1()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","7","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test2","test2()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","28","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test8","test8()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test1","test1()",""
"passed","Thu Jun 22 06:22:17 GMT 2023","Thu Jun 22 06:22:24 GMT 2023","7021","","tests.api.SomeApiTests","","tests.api.SomeApiTests","checkStatusCodeAndBody","checkStatusCodeAndBody()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","2","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test5","test5()",""
"passed","Thu Jun 22 06:22:17 GMT 2023","Thu Jun 22 06:22:17 GMT 2023","93","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test9","test9()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","8","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test6","test6()",""
"passed","Thu Jun 22 06:22:18 GMT 2023","Thu Jun 22 06:22:18 GMT 2023","1","","tests.simple.PositiveTests","","tests.simple.PositiveTests","test3","test3()",""
